- M: CTNet - D: IMDB-BINARY(1000) - Train_split: 800 - B: 64 - Centers (if CTNet): 20 - LAP (if GAPNet): laplacian - Classes 2 - Feats 1
Epoch: 016, Train Loss: 36.254, Train Acc: 0.600, Test Loss: nan, Test Acc: 0.700
Epoch: 017, Train Loss: 36.226, Train Acc: 0.616, Test Loss: 14.082, Test Acc: 0.605
Epoch: 018, Train Loss: 36.187, Train Acc: 0.639, Test Loss: nan, Test Acc: 0.620
Epoch: 019, Train Loss: 36.185, Train Acc: 0.634, Test Loss: nan, Test Acc: 0.655
Epoch: 020, Train Loss: 36.199, Train Acc: 0.630, Test Loss: nan, Test Acc: 0.610
Epoch: 021, Train Loss: 36.188, Train Acc: 0.657, Test Loss: nan, Test Acc: 0.660
Epoch: 022, Train Loss: 36.161, Train Acc: 0.649, Test Loss: nan, Test Acc: 0.580
Epoch: 023, Train Loss: 36.157, Train Acc: 0.650, Test Loss: nan, Test Acc: 0.665
Epoch: 024, Train Loss: 36.217, Train Acc: 0.639, Test Loss: 15.601, Test Acc: 0.440
Epoch: 025, Train Loss: 36.269, Train Acc: 0.586, Test Loss: 13.743, Test Acc: 0.670
Epoch: 026, Train Loss: 36.177, Train Acc: 0.614, Test Loss: 13.873, Test Acc: 0.530
Epoch: 027, Train Loss: 36.135, Train Acc: 0.661, Test Loss: nan, Test Acc: 0.640
Epoch: 028, Train Loss: 36.142, Train Acc: 0.637, Test Loss: nan, Test Acc: 0.625
Epoch: 029, Train Loss: 36.140, Train Acc: 0.679, Test Loss: 14.731, Test Acc: 0.580
Epoch: 030, Train Loss: 36.147, Train Acc: 0.634, Test Loss: 13.642, Test Acc: 0.655
Epoch: 031, Train Loss: 36.122, Train Acc: 0.656, Test Loss: 13.717, Test Acc: 0.655
